gid,total_users,experts,percent_experts,shannon
990577,2,1,50.0,0.8277720393424564
990594,2,0,0.0,0.8405668937844863
990598,3,1,33.333333333333336,0.9477940506534457
990670,41,1,2.4390243902439024,0.9306186522694077
990698,3,2,66.66666666666667,0.6908938714350407
990712,2,0,0.0,1.1108040791276625
990736,2,0,0.0,0.8631205685666311
990766,3,2,66.66666666666667,0.6136120476677077
990844,2,0,0.0,1.264622826358332
990902,2,1,50.0,-0.0
991054,8,0,0.0,0.940285958670631
991116,3,0,0.0,1.1754091841011405
991256,2,0,0.0,0.6500224216483541
991281,22,0,0.0,0.8775794359472776
991290,7,4,57.142857142857146,1.070429308078706
991490,10,0,0.0,0.9436829690980324
991545,2,0,0.0,0.20258633613782595
991588,3,0,0.0,-0.0
991659,4,0,0.0,0.21462671434705136
991671,2,0,0.0,1.0
991715,3,2,66.66666666666667,0.9961495730715962
991717,16,0,0.0,0.7422117859950412
991718,2,0,0.0,0.9728063221185003
991720,2,0,0.0,-0.0
991721,2,0,0.0,-0.0
991724,50,1,2.0,0.8830082118125268
991726,52,0,0.0,0.4351676304959218
991727,25,0,0.0,1.166068067853019
991728,37,0,0.0,0.1559135145524456
991774,2,0,0.0,0.7732266742876345
991825,66,35,53.03030303030303,2.2393872141558098
991828,4,3,75.0,1.011640992365971
991901,4,0,0.0,0.8551826093537827
992024,3,0,0.0,0.5558575893665086
992037,2,1,50.0,1.2029756801488711
992316,24,0,0.0,0.7438013061197908
992317,22,0,0.0,0.9054481629235279
992367,3,0,0.0,0.3200128522212071
992401,2,1,50.0,1.1820626048044087
992842,3,1,33.333333333333336,1.2438319617605578
992852,2,0,0.0,-0.0
993077,31,26,83.87096774193549,1.9616743604741538
993136,5,0,0.0,0.16542703399626665
993192,2,2,100.0,0.05648693985211395
993281,6,0,0.0,0.8709533712740144
993362,40,0,0.0,0.7545003568694469
993409,3,0,0.0,0.23115271511497046
993410,9,0,0.0,0.9182958340544894
993593,5,4,80.0,1.485184177457688
993613,2,2,100.0,1.0307318117622628
993763,3,0,0.0,0.2872493430441812
993764,4,0,0.0,1.0
993766,4,0,0.0,0.012855564009023717
993768,4,0,0.0,0.7986168437455713
993771,4,0,0.0,0.022196379934706998
993772,3,0,0.0,0.3964393722570084
993944,4,0,0.0,0.9846569287873579
994122,14,0,0.0,0.3712323266408757
994123,17,0,0.0,0.2570114430817148
994124,10,0,0.0,-0.0
994150,14,0,0.0,0.9786961448300948
994254,3,0,0.0,0.9182958340544894
994275,2,0,0.0,0.6500224216483541
994315,10,0,0.0,0.9479010958470975
994353,2,1,50.0,0.8042981443453797
994775,8,0,0.0,0.3955378064564775
994776,8,0,0.0,0.3227569588973983
994777,8,0,0.0,0.6175235405223873
994859,2,0,0.0,0.044597048603285165
994896,3,0,0.0,1.094728262983979
995059,17,0,0.0,1.037711451643646
995143,4,0,0.0,0.20062232431271465
995192,2,0,0.0,-0.0
995248,10,4,40.0,2.061744650337276
995279,2,1,50.0,1.321586905051046
995491,2,1,50.0,0.045893538734292444
995526,22,0,0.0,-0.0
995558,9,1,11.11111111111111,0.44826738883429573
995769,16,0,0.0,0.3219492746215556
995899,9,0,0.0,0.8960382325345574
995998,2,0,0.0,1.0
996036,5,0,0.0,1.0
996085,6,0,0.0,0.6500224216483541
996109,7,0,0.0,0.5916727785823274
996318,2,0,0.0,1.0511287653783803
996412,2,0,0.0,1.0
996544,3,0,0.0,0.9182958340544894
996650,5,0,0.0,0.8739810481273579
996653,2,0,0.0,-0.0
996836,3,0,0.0,0.9482500746275219
997144,21,0,0.0,2.0658099287890943
997194,2,0,0.0,0.9668360329287743
997286,2,0,0.0,-0.0
997333,8,0,0.0,-0.0
997511,4,0,0.0,0.6942347416140928
997594,2,0,0.0,-0.0
997890,5,0,0.0,0.9709505944546688
997891,2,0,0.0,-0.0
997924,2,0,0.0,-0.0
998166,3,0,0.0,1.0
998311,10,0,0.0,0.807931359767395
998331,2,0,0.0,-0.0
998356,8,0,0.0,0.5435644431995964
998379,11,0,0.0,0.4236805715709106
